1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,15.9,3.41E-12,,,,,,
1,00:00:28,28242,15.95,3.09E-12,,,,,,
1,00:00:28,28242,16,3.31E-12,,,,,,
1,00:00:28,28242,16.05,3.28E-12,,,,,,
1,00:00:28,28242,16.1,3.06E-12,,,,,,
1,00:00:28,28242,16.15,3.28E-12,,,,,,
1,00:00:28,28242,16.2,3.23E-12,,,,,,
1,00:00:28,28242,16.25,2.82E-12,,,,,,
1,00:00:28,28242,16.3,2.77E-12,,,,,,
1,00:00:28,28242,16.35,2.39E-12,,,,,,
1,00:00:28,28242,16.4,1.61E-12,,,,,,
1,00:00:28,28242,16.45,1.10E-12,,,,,,
1,00:00:28,28242,16.5,9.94E-13,,,,,,
1,00:00:28,28242,16.55,1.08E-12,,,,,,
1,00:00:28,28242,16.6,7.26E-13,,,,,,
1,00:00:28,28242,16.65,1.45E-12,,,,,,
1,00:00:28,28242,16.7,1.83E-12,,,,,,
1,00:00:28,28242,16.75,2.39E-12,,,,,,
1,00:00:28,28242,16.8,3.31E-12,,,,,,
1,00:00:28,28242,16.85,3.31E-12,,,,,,
1,00:00:28,28242,16.9,4.09E-12,,,,,,
1,00:00:28,28242,16.95,3.82E-12,,,,,,
1,00:00:28,28242,17,3.74E-12,,,,,,
1,00:00:28,28242,17.05,3.95E-12,,,,,,
1,00:00:28,28242,17.1,4.11E-12,,,,,,
1,00:00:28,28242,17.15,3.79E-12,,,,,,
1,00:00:28,28242,17.2,3.41E-12,,,,,,
1,00:00:28,28242,17.25,3.47E-12,,,,,,
1,00:00:28,28242,17.3,3.47E-12,,,,,,
1,00:00:28,28242,17.35,2.58E-12,,,,,,
1,00:00:28,28242,17.4,2.10E-12,,,,,,
1,00:00:28,28242,17.45,1.02E-12,,,,,,
1,00:00:28,28242,17.5,1.10E-12,,,,,,
1,00:00:28,28242,17.55,1.08E-12,,,,,,
1,00:00:28,28242,17.6,1.42E-12,,,,,,
1,00:00:28,28242,17.65,8.06E-13,,,,,,
1,00:00:28,28242,17.7,2.96E-12,,,,,,
1,00:00:28,28242,17.75,4.35E-12,,,,,,
1,00:00:28,28242,17.8,5.48E-12,,,,,,
1,00:00:28,28242,17.85,6.29E-12,,,,,,
1,00:00:28,28242,17.9,7.20E-12,,,,,,
1,00:00:28,28242,17.95,6.69E-12,,,,,,
1,00:00:28,28242,18,7.63E-12,,,,,,
1,00:00:28,28242,18.05,7.53E-12,,,,,,
